country_iso3,country,date,year,week_id,latitude,longitude,sine_seasonality,cosine_seasonality,temperature,relative_humidity,population,population_density,age_65_and_above,socioeconomic_development,government_effectiveness,individualism,uncertainty_avoidance,all_cause_mortality,covid_19_prevalence,covid_19_incidence,covid_19_mortality,covid_19_prevalence_original,covid_19_incidence_original,covid_19_mortality_original,covid_19_vaccine_doses_administered_cumulative,covid_19_vaccine_doses_administered,covid_19_policy_stringency,covid_19_face_covering_policy,covid_19_testing_tracing_policy,covid_19_variant_delta,covid_19_variant_omicron,S,influenza_like_illness_prevalence
IRN,Iran,2021-05-30,2021,65,32.0,53.0,0.6631226582407952,-0.7485107481711012,25.012142857142855,26.73690476190476,88506487.17123288,54.54945280199253,7.410681112235627,0.5794003795066416,0.007698433774577629,0.41,0.59,15.698837723653854,0.16352386929915502,0.12091519070078821,0.25199568326688276,0.0068302646896828524,2903.542793475207,4.539063728382405,0.04187723994546569,0.007685549822652064,0.7519857142857144,0.75,0.2222222222222222,0.0,0.0,0.8500708603807238,0.0
IRN,Iran,2021-06-06,2021,66,32.0,53.0,0.5680647467311558,-0.8229838658936564,28.828452380952378,19.75,88525136.99315068,54.56094729932246,7.4150613911394,0.5797744212523721,0.0076921272475294344,0.41,0.59,14.898477886799675,0.16542793068528927,0.13417206542714233,0.24131335908670315,0.006990253068327944,3575.120723486518,4.162390367277603,0.04931227839091348,0.007435038445447795,0.7639,0.75,0.2222222222222222,0.0,0.0,0.8451386861818256,0.0
IRN,Iran,2021-06-13,2021,67,32.0,53.0,0.46472317204376906,-0.8854560256532096,26.98559523809524,25.148809523809522,88543786.81506848,54.57244179665238,7.419441670043172,0.5801484629981026,0.007685820720481185,0.41,0.59,14.856157111403391,0.16445500122227769,0.13109741077781714,0.22745052181241637,0.006908271461657839,3413.1449274938673,3.697889697872463,0.053679764979938656,0.004367486589025173,0.7480428571428572,0.75,0.2222222222222222,0.0,0.0,0.8399873654403301,0.0
IRN,Iran,2021-06-20,2021,68,32.0,53.0,0.35460488704253584,-0.9350162426854147,28.066904761904762,21.463095238095235,88562436.6369863,54.58393629398231,7.423821948946945,0.5805225047438334,0.00767951419343299,0.41,0.59,14.350512189948486,0.17173974583782742,0.1433281577829841,0.19115965253562842,0.007533848037902962,4079.7123070740427,2.6119962107522228,0.0558197524078704,0.0021399874279317416,0.7454000000000001,0.75,0.2222222222222222,0.0,0.0,0.8353095643416354,0.0
IRN,Iran,2021-06-27,2021,69,32.0,53.0,0.23931566428755768,-0.970941817426052,28.234166666666663,18.958333333333336,88581086.4589041,54.59543079131224,7.428202227850718,0.5808965464895637,0.00767320766638474,0.41,0.59,14.191194518195806,0.19187769777696154,0.16848194640668027,0.19371135592241784,0.009404251223801244,5637.327204849763,2.68219432820492,0.062435404905152515,0.006615652497282118,0.7454000000000001,0.75,0.2222222222222222,0.0,0.0,0.8318707567481257,0.0
IRN,Iran,2021-07-04,2021,70,32.0,53.0,0.12053668025532308,-0.992708874098054,29.76809523809524,22.4047619047619,88599736.28082192,54.60692528864217,7.43258250675449,0.5812705882352944,0.007666901139336546,0.41,0.59,14.193873731201684,0.22890650899353257,0.20908737006711592,0.19615967798882655,0.013384171980383474,8682.046368482852,2.7504234206153777,0.0678104614324961,0.005375056527343582,0.6991142857142857,0.75,0.2222222222222222,0.0,0.0,0.8282091486099582,0.0
IRN,Iran,2021-07-11,2021,71,32.0,53.0,-3.216245299353273e-16,-1.0,29.770595238095236,29.78690476190476,88618386.10273972,54.618419785972094,7.436962785658262,0.5816446299810247,0.007660594612288296,0.41,0.59,14.848901815478136,0.26855106839298626,0.24302897249620198,0.20343898311432568,0.018421669790954855,11729.583800763117,2.9583423480208366,0.07237881755783523,0.0045683561253391375,0.6806,0.75,0.2222222222222222,0.0,0.0,0.818585353010932,0.0
IRN,Iran,2021-07-18,2021,72,32.0,53.0,-0.12053668025532283,-0.992708874098054,27.36511904761905,36.93214285714286,88637035.92465752,54.629914283302014,7.441343064562035,0.5820186717267555,0.007654288085240046,0.41,0.59,15.10471013304082,0.29402232370253384,0.25457952714444654,0.21857694576487088,0.02208186932067001,12871.03442519258,3.4149848706943167,0.08895299522465161,0.016574177666816375,0.6806,0.75,0.2222222222222222,0.0,0.0,0.8071608451455937,0.0
IRN,Iran,2021-07-25,2021,73,32.0,53.0,-0.23931566428755743,-0.9709418174260521,30.21535714285714,25.4047619047619,88655685.74657534,54.64140878063195,7.445723343465808,0.582392713472486,0.007647981558191852,0.41,0.59,17.007668689433043,0.3355186943240835,0.2986565574209764,0.25463694827234945,0.028754688711003434,17713.75405066843,4.634713781101186,0.11145438577109752,0.022501390546445912,0.6806,0.75,0.2222222222222222,0.0,0.0,0.7961202785058238,0.0
IRN,Iran,2021-08-01,2021,74,32.0,53.0,-0.3546048870425356,-0.9350162426854148,27.504166666666666,34.326190476190476,88674335.56849314,54.652903277961876,7.45010362236958,0.5827667552182165,0.007641675031143602,0.41,0.59,19.95886142437638,0.36522713711990623,0.31491556351631744,0.3288291572144077,0.034072288341219795,19694.943985718077,7.728953891311969,0.13613621357658653,0.024681827805489012,0.6806,0.75,0.2222222222222222,0.4285714285714286,0.0,0.772971114155622,0.0
IRN,Iran,2021-08-08,2021,75,32.0,53.0,-0.46472317204376806,-0.8854560256532101,27.74595238095238,26.86785714285714,88692985.39041096,54.66439777529181,7.454483901273353,0.583140796963947,0.007635368504095408,0.41,0.59,20.634353899845788,0.3632312859878179,0.2896786255672695,0.3548999703482565,0.03370091721184549,16664.773041235592,9.003098544618762,0.17664669311179193,0.040510479535205396,0.6806,0.75,0.2222222222222222,0.9285714285714286,0.0,0.745803135818909,0.0
IRN,Iran,2021-08-15,2021,76,32.0,53.0,-0.5680647467311556,-0.8229838658936566,29.02440476190476,23.798809523809524,88711635.21232876,54.67589227262173,7.458864180177125,0.5835148387096778,0.007629061977047158,0.41,0.59,22.014805420740192,0.34501370354142313,0.2612536843065709,0.37820254705030415,0.030405203500927628,13554.744895004884,10.224191525045189,0.2183331865503503,0.041686493438558375,0.6845571428571428,0.75,0.2222222222222222,1.0,0.0,0.7224974389916383,0.0
IRN,Iran,2021-08-22,2021,77,32.0,53.0,-0.663122658240795,-0.7485107481711013,26.770238095238092,25.436904761904763,88730285.03424656,54.68738676995166,7.463244459080897,0.5838888804554081,0.007622755449998964,0.41,0.59,26.97236129917466,0.33550862941529147,0.26121144124301815,0.4545356580552251,0.028752963567318764,13550.361816854951,14.767806585773432,0.25162666829462627,0.03329348174427596,0.7401000000000001,0.75,0.2222222222222222,1.0,0.0,0.6936620862360798,0.0
IRN,Iran,2021-08-29,2021,78,32.0,53.0,-0.7485107481711011,-0.6631226582407952,27.26404761904762,25.927380952380954,88748934.85616438,54.69888126728159,7.4676247379846705,0.5842629222011388,0.007616448922950714,0.41,0.59,27.6748363107522,0.3044463938665363,0.21638762145447935,0.48258585947506283,0.023675376427314456,9298.894643655074,16.6467425177838,0.29494580461640146,0.0433191363217752,0.7082999999999999,0.75,0.2222222222222222,1.0,0.0,0.6642353419387775,0.0
IRN,Iran,2021-09-05,2021,79,32.0,53.0,-0.8229838658936564,-0.5680647467311559,27.35107142857143,23.734523809523807,88767584.67808218,54.71037576461151,7.472005016888443,0.5846369639468691,0.007610142395902519,0.41,0.59,25.248759856421174,0.27817362984946586,0.19979866656944342,0.4393092086578585,0.019765469712329353,7927.781498672124,13.79496781219669,0.3284141176728234,0.03346831305642195,0.6990999999999999,0.75,0.2222222222222222,1.0,0.0,0.6448119260414038,0.0
